movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
'R Xmas,C4tEhvd844Y,9,1,10168,0.3741285714285714
Lonely Affair of the Heart,C4tEhvd844Y,9,1,10168,0.3741285714285714
The Jimmy Show,d_Swi5qpZ50,1486,77,335333,0.28673085106382984
Besotted,d_Swi5qpZ50,1486,77,335333,0.28673085106382984
Execution of Wanda Jean,d_Swi5qpZ50,1486,77,335333,0.28673085106382984
Heartbreak Hospital,d_Swi5qpZ50,1486,77,335333,0.28673085106382984
Blackwoods,mLziyGyn07A,240,43,286846,0.11980952380952384
Mama Africa,ceY6Bx_j6X4,38,1,28778,0.4626
The Opera Lover,sUNaz0TGe_0,76,4,3202,0.65345
By Hook or by Crook,rpycnTdv3Z4,51,3,18487,0.3274
Mr. Smith Gets a Hustler,rpycnTdv3Z4,51,3,18487,0.3274
Choice of Weapons,3QLWsLzyDxA,12,16,41573,-0.29833333333333334
Some Body,07s-cNFffDM,70963,2236,14424419,0.32248677354709426
Stealing the Fire,dRvKm__GrqU,30429,1206,6546906,0.28425679999999975
Stripped,R6gSgmxpNPU,17063,4417,9579353,0.0695390501319261
The 4th Tenor,PzpYT7PHky0,2967,867,3112425,0.09491333333333332
Virgil Bliss,PzpYT7PHky0,2967,867,3112425,0.09491333333333332
ZigZag,V4-8agcoVQs,4706,2097,1116497,0.12749240506329113
Standing by Yourself,6Gu3ifv-7Ck,8047,246,1177756,0.10500104166666666
Dead or Alive: Final,MllUhHcplTU,21004,271,1320259,0.3042323999999999
Ash Wednesday,wzeu3_CzVW8,29,2,32096,0.32977
Tattoo Bar,wzeu3_CzVW8,29,2,32096,0.32977
A Cuban Legend,wzeu3_CzVW8,29,2,32096,0.32977
Looking Through Lillian,wzeu3_CzVW8,29,2,32096,0.32977
Revolution OS,e2jerZDvtG8,36362,2604,1823865,0.1372321999999999
Caravaggio (Re-issue),e2jerZDvtG8,36362,2604,1823865,0.1372321999999999
Hera Purple,e2jerZDvtG8,36362,2604,1823865,0.1372321999999999
My Kingdom,vn9mMeWcgoM,601384,31226,50311823,0.13366839999999983
"Sia, The Dream of the Python",vn9mMeWcgoM,601384,31226,50311823,0.13366839999999983
Secret Society,87bxIqvuBlY,43527,1416,11464086,0.24312599999999987
Perfect Pie,g_HTHUqOQrU,31509,2593,9169951,0.05275617283950618
The First $20 Million...,fD_lbHsKOGk,61,3,59827,0.12375000000000001
Ted Bundy,9tJAW9fpkWU,245,37,290532,-0.12742301587301583
The Phantom of Liberte (Re-issue),9tJAW9fpkWU,245,37,290532,-0.12742301587301583
All My Loved Ones,Cb5BFm4qIow,3974,196,1754578,0.12656839999999991
Buddha Heads,Cb5BFm4qIow,3974,196,1754578,0.12656839999999991
Group,wngt-csoPHg,36264,429,1224445,0.20091859999999978
The Dogwalker (2002),wngt-csoPHg,36264,429,1224445,0.20091859999999978
The Rising Place,wngt-csoPHg,36264,429,1224445,0.20091859999999978
ABC Africa,wngt-csoPHg,36264,429,1224445,0.20091859999999978
Il Posto,_jjbVKZrGL8,4455,384,660408,0.22313181818181815
Take Care of My Cat,6mKFOQqgFEI,101,24,1107978,0.16238333333333332
Revolution #9,6mKFOQqgFEI,101,24,1107978,0.16238333333333332
Love in the Time of Money,lXuxe7dTg2U,361,18,176303,0.2300590909090909
